frequency_hz,z_real_ohm_cm2,z_imag_ohm_cm2,sample_id,target_temperature_C,actual_temperature_C,source_file
26.8657,34.947601,-87.851601,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
21.343901,41.294899,-104.167,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
17.307699,47.815201,-121.982002,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
13.6364,55.8563,-145.936005,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
10.7143,64.843201,-175.410995,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
8.49057,74.3778,-210.389008,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
6.71642,84.938698,-253.641006,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
5.29412,96.969704,-307.871002,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
4.16667,110.467003,-375.919006,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
3.30882,125.177002,-457.274994,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
2.61628,142.615005,-559.786011,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
2.07373,162.688995,-686.05603,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
1.64234,186.337997,-843.325989,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
1.30058,214.996002,-1038.599976,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
1.03211,249.231003,-1278.680054,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
0.815217,291.416992,-1581.339966,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
0.646552,330.785004,-1954.01001,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
0.511364,390.524994,-2438.179932,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
0.407609,463.894012,-3001.399902,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
0.321429,551.658997,-3756.310059,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
0.254525,666.166016,-4653.959961,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
0.201613,808.854004,-5767.450195,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
0.159574,988.786987,-7157.319824,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
0.126689,1216.310059,-8855.280273,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
0.100446,1492.959961,-10977.5,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
