sample_id,material,N,R,segment,T_low_K,T_high_K,T_mid_K,Ea_eV,r_squared
S8-3-11-2,S8,4.492933333333334,0.30793441143316214,1,271.3833333333333,300.0,285.69166666666666,0.08103630277152096,0.9811065863364516
S8-3-11-2,S8,4.492933333333334,0.30793441143316214,2,246.08333333333334,268.56666666666666,257.325,0.16814448788959382,0.9937872343781362
S8-3-11-2,S8,4.492933333333334,0.30793441143316214,3,210.0,243.25,226.625,0.3461203932493505,0.9915545672983181
S8-3-11-2,S8,4.492933333333334,0.30793441143316214,4,165.75,207.23333333333335,186.49166666666667,0.8868735198616705,0.9871586750271205
S8-3-2-1,S8,4.2860000000000005,0.29412726488993274,1,285.93333333333334,300.0,292.9666666666667,0.17102235293156576,0.9696853951722745
S8-3-2-1,S8,4.2860000000000005,0.29412726488993274,2,260.85,283.1333333333333,271.9916666666667,0.29768016286884635,0.9974998233814693
S8-3-2-1,S8,4.2860000000000005,0.29412726488993274,3,230.35,258.06666666666666,244.20833333333331,0.475455785264165,0.9931841113340508
S8-3-2-1,S8,4.2860000000000005,0.29412726488993274,4,192.15,227.15,209.65,0.9978807996795185,0.9860537731553145
S8-3-2-2,S8,4.2860000000000005,0.29412726488993274,1,263.2833333333333,300.0,281.64166666666665,0.09585332021258308,0.8031166460542527
S8-3-2-2,S8,4.2860000000000005,0.29412726488993274,2,230.13333333333333,259.9666666666667,245.05,0.4459965514326176,0.9669846606471768
S8-3-2-2,S8,4.2860000000000005,0.29412726488993274,3,193.38333333333333,225.33333333333331,209.35833333333332,0.9454119013182641,0.9711435060435141
S8-3-2-3,S8,4.2860000000000005,0.29412726488993274,1,239.2,300.0,269.6,0.14125359810634988,0.9437442036131649
S8-3-2-3,S8,4.2860000000000005,0.29412726488993274,2,183.8,230.89999999999998,207.35,0.7183678040694074,0.9384012325722024
S8-3-2-4,S8,4.2860000000000005,0.29412726488993274,1,266.35,300.0,283.175,0.15257643652107436,0.9612643350467794
S8-3-2-4,S8,4.2860000000000005,0.29412726488993274,2,193.29999999999998,257.95,225.625,0.4246148246366392,0.9562821612867146
S8-3-2-5,S8,4.2860000000000005,0.29412726488993274,1,241.3,300.0,270.65,0.1934781794370317,0.9537313038304539
S8-3-2-5,S8,4.2860000000000005,0.29412726488993274,2,184.6,233.0,208.8,0.8797123959613724,0.9381381586034909
S8-3-20-1-1,S8,4.591600000000001,0.40793878581793563,1,274.5,300.0,287.25,0.1006587160059971,0.9887410351385607
S8-3-20-1-1,S8,4.591600000000001,0.40793878581793563,2,251.73333333333335,271.65,261.69166666666666,0.19379609985728968,0.9944772931658424
S8-3-20-1-1,S8,4.591600000000001,0.40793878581793563,3,218.43333333333334,248.93333333333334,233.68333333333334,0.37726416308609956,0.9925980516077628
S8-3-20-1-1,S8,4.591600000000001,0.40793878581793563,4,178.2,215.68333333333334,196.94166666666666,0.903092365155823,0.9848854557936602
S8-3-21-1-1,S8,4.690266666666666,0.5511248511687172,1,277.2,300.0,288.6,0.15294862591263927,0.9920113118771293
S8-3-21-1-1,S8,4.690266666666666,0.5511248511687172,2,254.8,274.3833333333333,264.5916666666667,0.25800166483584364,0.996891852656357
S8-3-21-1-1,S8,4.690266666666666,0.5511248511687172,3,221.65,252.03333333333333,236.84166666666667,0.4463466660380241,0.9931450900480469
S8-3-21-1-1,S8,4.690266666666666,0.5511248511687172,4,184.15,218.86666666666667,201.50833333333333,1.0242399985472908,0.9839577724786972
S8-3-22-1-1,S8,4.344933333333333,0.20404514559525858,1,277.5,300.0,288.75,0.15823019157894128,0.9919756313650359
S8-3-22-1-1,S8,4.344933333333333,0.20404514559525858,2,255.18333333333334,274.6666666666667,264.925,0.2605852359674677,0.9972811307906537
S8-3-22-1-1,S8,4.344933333333333,0.20404514559525858,3,224.73333333333335,252.38333333333333,238.55833333333334,0.4321133045732082,0.9928062233457217
S8-3-22-1-1,S8,4.344933333333333,0.20404514559525858,4,179.41666666666669,221.95,200.68333333333334,0.9734000027043501,0.9888037096132412
S8-3-23-2-1,S8,3.881733333333334,0.15219021469526195,1,286.1666666666667,300.0,293.08333333333337,0.2406698577837363,0.9870400077820958
S8-3-23-2-1,S8,3.881733333333334,0.15219021469526195,2,264.1,283.4166666666667,273.7583333333333,0.35597724783099055,0.9985636300625099
S8-3-23-2-1,S8,3.881733333333334,0.15219021469526195,3,233.6,261.35,247.47500000000002,0.5757619900549222,0.9981696916592412
S8-3-23-2-1,S8,3.881733333333334,0.15219021469526195,4,198.83333333333331,229.01666666666665,213.92499999999998,1.1211154563758827,0.9879057597535317
S8-3-25-1-1,S8,5.173333333333333,1.0408163265306123,1,282.8833333333333,300.0,291.44166666666666,0.17363409375510885,0.9928819480903381
S8-3-25-1-1,S8,5.173333333333333,1.0408163265306123,2,263.31666666666666,280.0833333333333,271.7,0.2783490842938581,0.9978187789520264
S8-3-25-1-1,S8,5.173333333333333,1.0408163265306123,3,232.86666666666667,260.55,246.70833333333334,0.44278338394652345,0.9968208891406631
S8-3-25-1-1,S8,5.173333333333333,1.0408163265306123,4,194.26666666666665,230.1,212.18333333333334,0.9781973525868022,0.9872459733079254
S8-3-27-1-1,S8,2.7580000000000005,0.0,1,288.96666666666664,300.0,294.48333333333335,0.09719171198445584,0.9411120170455594
S8-3-27-1-1,S8,2.7580000000000005,0.0,2,271.25,286.2,278.725,0.19249371301815937,0.998193195443584
S8-3-28-1-1,S8,3.3986666666666667,0.06412142500696691,1,274.25,300.0,287.125,0.08692197792342883,0.9853777675562687
S8-3-28-1-1,S8,3.3986666666666667,0.06412142500696691,2,257.3666666666667,271.4,264.3833333333333,0.17112044769651483,0.9568834679919253
