sample_id,Ea_observed_eV,Ea_predicted_eV,residual_eV,R,T_avg_K
S60-2-12-1,0.1717328767422654,0.07732317526488991,0.09440970147737549,0.204,284.4083333333333
S60-2-12-1,0.1535751478553655,0.28510761712910204,-0.13153246927373655,0.204,254.52500000000003
S60-2-12-1,0.3458043411680968,0.48849006028259645,-0.14268571911449968,0.204,223.7083333333333
S60-2-12-1,0.7692011695197999,0.7300263568329115,0.03917481268688838,0.204,184.7083333333333
S60-2-13-1,0.0597111220209948,0.06488666632653411,-0.005175544305539313,0.1522,285.6333333333333
S60-2-13-1,0.1959071258236762,0.2936650287663012,-0.09775790294262499,0.1522,252.7
S60-2-13-1,0.5548709707709945,0.465626538755301,0.08924443201569343,0.1522,226.65833333333333
S60-2-13-1,0.7071926918262589,0.6509860852419089,0.05620660658434995,0.1522,197.14166666666668
S60-2-14-1,0.1368009029914659,0.04188157000181919,0.09491933298964672,0.0684,288.25
S60-2-14-1,0.0723660430759738,0.20466782067030662,-0.13230177759433281,0.0684,265.09166666666664
S60-2-14-1,0.3554168242940827,0.40462374853176486,-0.04920692423768214,0.0684,235.34166666666664
S60-2-14-1,0.8130373443628552,0.6605703601538214,0.15246698420903382,0.0684,194.79166666666663
S60-2-2-1,0.0518540213440628,0.01899316011600466,0.03286086122805814,0.0223,291.2333333333333
S60-2-2-1,0.1126262183383689,0.19756011607528784,-0.08493389773691894,0.0223,265.9
S60-2-2-1,0.4372059130847912,0.4207502208960106,0.01645569218878057,0.0223,232.625
S60-2-2-1,0.717079844561003,0.6585976106151863,0.05848223394581675,0.0223,194.8333333333333
S60-2-3-1,0.095234547134883,0.09419948936790251,0.001035057766980485,0.0068,280.64166666666665
S60-2-3-1,0.7770771960434341,0.3573428200287555,0.41973437601467856,0.0068,242.21666666666667
S60-2-4-1,0.0473337574049323,0.007571461309467342,0.03976229609546496,0.0394,292.8833333333333
S60-2-4-1,0.1257612450849837,0.18451548926592368,-0.05875424418093997,0.0394,267.8583333333333
S60-2-4-1,0.2766284257934072,0.3718147488473651,-0.09518632305395791,0.0394,240.16666666666669
S60-2-4-1,0.6364427258967179,0.5827346178761834,0.053708108020534495,0.0394,207.26666666666665
S60-2-5-1,0.2591565440170106,0.09007445809489262,0.169082085922118,0.0,281.2055555555555
S60-2-6-1,0.0741110357725562,0.03680885621209834,0.037302179560457865,0.0113,288.7166666666667
S60-2-6-1,0.1448548251291458,0.1926272657603447,-0.0477724406311989,0.0113,266.575
S60-2-6-1,0.4447375172299726,0.3947487010034904,0.04998881622648221,0.0113,236.5583333333333
S60-2-6-1,0.7356762090862663,0.6354247629616798,0.10025144612458647,0.0113,198.5833333333333
S60-2-7-1,0.1189955337777336,0.03038785531976257,0.08860767845797103,0.2941,292.1083333333333
S60-2-7-1,0.1786270628998603,0.19833769889408634,-0.01971063599422604,0.2941,268.4
S60-2-7-1,0.2876503802168004,0.3626311010247879,-0.07498072080798751,0.2941,244.25833333333333
S60-2-7-1,0.6147057859755809,0.6414815777147443,-0.026775791739163446,0.2941,200.76666666666668
S60-2-7-2,0.1775254453054415,0.1357931151927037,0.0417323301127378,0.2941,277.3375
S60-2-7-2,0.3795399494748157,0.43503257904231973,-0.05549262956750406,0.2941,233.29
S60-2-7-2,0.4315176883500679,0.5657140961582764,-0.13419640780820852,0.2941,212.93
S60-2-7-2,0.7243798100154797,0.7143577199120607,0.010022090103419035,0.2941,188.7975
S60-2-8-1,0.1409745824765826,0.06896520431043135,0.07200937816615124,0.4247,289.01666666666665
S60-2-8-1,0.2299349593195638,0.2626712157526454,-0.03273625643308162,0.4247,261.475
S60-2-8-1,0.3776820597115274,0.46703908402384725,-0.08935702431231984,0.4247,230.95
S60-2-8-1,0.8065617358322267,0.6979778203253398,0.10858391550688684,0.4247,194.31666666666663
S60-2-9-1,0.1288800568673657,0.05713815393208138,0.07174190293528432,0.3079,288.6
S60-2-9-1,0.1200211612067039,0.20776166122593098,-0.08774050001922708,0.3079,267.2583333333333
S60-2-9-1,0.2891675819434263,0.41765089860161775,-0.12848331665819146,0.3079,236.175
S60-2-9-1,0.7886285983586576,0.7066625824610822,0.08196601589757546,0.3079,190.33333333333331
