sample_id,Ea_observed_eV,Ea_predicted_eV,residual_eV,R,N,T_avg_K
S8-3-6-1,0.3046786813668551,0.3909586882662208,-0.08628000689936571,0.3797497505181546,4.566933333333333,243.56666666666663
S8-3-6-1,0.6858490953266501,0.6827755411186819,0.0030735542079681766,0.3797497505181546,4.566933333333333,205.13333333333333
S8-3-6-2,0.1375512371811573,0.11859056682882607,0.018960670352331233,0.3797497505181546,4.566933333333333,288.80833333333334
S8-3-6-2,0.2554645647891591,0.20560925754553488,0.04985530724362419,0.3797497505181546,4.566933333333333,263.7583333333333
S8-3-6-2,0.4450175737643332,0.4098933268825219,0.035124246881811316,0.3797497505181546,4.566933333333333,234.75833333333333
S8-3-6-2,1.0317728029170603,0.9591953856107671,0.07257741730629319,0.3797497505181546,4.566933333333333,197.66666666666663
S8-3-6-3,0.1666688091984423,0.17258099705568902,-0.005912187857246731,0.3797497505181546,4.566933333333333,266.1
S8-3-6-3,0.7322958903366379,0.7810909970152384,-0.04879510667860054,0.3797497505181546,4.566933333333333,200.075
S8-3-7-1,0.1734803702232686,0.12954366757107866,0.043936702652189935,0.3865699438677832,5.838000000000001,292.93333333333334
S8-3-7-1,0.2346070120935468,0.18842753667344211,0.0461794754201047,0.3865699438677832,5.838000000000001,256.6083333333333
S8-3-7-1,0.463219018677309,0.4511841368169752,0.012034881860333801,0.3865699438677832,5.838000000000001,217.50833333333333
S8-3-7-1,0.956157315502396,0.9520183355783913,0.004138979924004693,0.3865699438677832,5.838000000000001,196.15833333333333
S8-3-7-2,0.379311056531261,0.3908550182002502,-0.011543961668989189,0.3865699438677832,5.838000000000001,243.625
S8-3-8-2,0.0703975050563821,0.11458178367343894,-0.04418427861705683,0.3865699438677832,7.005600000000001,287.26666666666665
S8-3-8-2,0.1927481374365388,0.19485382667567655,-0.002105689239137759,0.3865699438677832,7.005600000000001,261.7166666666667
S8-3-8-2,0.4377917981526663,0.4148196106093687,0.02297218754329755,0.3865699438677832,7.005600000000001,233.73333333333332
S8-3-8-2,1.1471332380519896,1.1021179900723732,0.045015247979616424,0.3865699438677832,7.005600000000001,197.75833333333333
S8-3-9-2,0.182056994277128,0.1685983942408853,0.01345860003624269,0.2941272648899327,4.2860000000000005,279.0083333333333
S8-3-9-2,0.3291335327043417,0.41658997064922,-0.08745643794487828,0.2941272648899327,4.2860000000000005,248.35
S8-3-9-2,0.4340257466994281,0.43313531042226733,0.0008904362771607888,0.2941272648899327,4.2860000000000005,231.6833333333333
S8-3-9-2,0.8903307895735086,0.9240013519817233,-0.033670562408214644,0.2941272648899327,4.2860000000000005,203.825
S8-3-9-3,0.0796120061217424,0.11885261180086965,-0.03924060567912724,0.2941272648899327,4.2860000000000005,284.3416666666667
S8-3-9-3,0.1638844225186173,0.22681250517040624,-0.06292808265178895,0.2941272648899327,4.2860000000000005,256.025
S8-3-9-3,0.3483922082358694,0.43313531042226733,-0.08474310218639791,0.2941272648899327,4.2860000000000005,226.8083333333333
S8-3-9-3,0.9000370775570703,0.828477628148581,0.07155944940848935,0.2941272648899327,4.2860000000000005,187.625
S8-3-9-4,0.2933576501568296,0.41811541442825223,-0.12475776427142266,0.2941272648899327,4.2860000000000005,250.84375
