sample_id,R,N,n_temperature_points,temperature_min_K,temperature_max_K,sigma_299K_interp_S_cm,sigma_273K_interp_S_cm,sigma_253K_interp_S_cm,sigma_233K_interp_S_cm,sigma_213K_interp_S_cm,sigma_193K_interp_S_cm,max_sigma_S_cm,min_sigma_S_cm,best_arrhenius_ea_eV,best_arrhenius_ln_sigma0,best_arrhenius_r2,has_arc_visible,has_semicircle_visible,quality_flags
S8-3-20-1-1,0.4079387858179356,4.591600000000001,38,193.15,299.15,0.020950533787827307,0.014126730279219533,0.007375229341528106,0.002096742102339734,0.0002525977210063097,,0.0209789499542929,3.355838040916846e-06,0.36050491973727555,11.120349330371122,0.9131515483952248,False,False,[]
S8-3-21-1-1,0.5511248511687172,4.690266666666666,35,200.15,299.15,0.015384866165601283,0.008275703074252225,0.0033640578235197387,0.0006884027740776576,3.8434421483317335e-05,,0.0154211608341067,1.6188180634704356e-06,0.42186690457847703,13.126314716530585,0.9283470457446685,False,False,[]
S8-3-22-1-1,0.2040451455952585,4.344933333333333,35,201.15,299.15,0.011238952676720806,0.005967455483762661,0.0022938401537751572,0.0005080935386664118,3.0301159683996085e-05,,0.0112670824557925,1.7490124460004624e-06,0.41417678414701714,12.452649195017749,0.9351647841141699,False,False,[]
S8-3-23-2-1,0.1521902146952619,3.881733333333334,28,215.15,299.15,0.0020319100394047703,0.0006650270443534662,0.00016749801089016456,1.3147485144248753e-05,,,0.0020385922524233,3.879790713018666e-07,0.5299488107954338,15.091637641032397,0.9593553945253195,False,False,[]
S8-3-25-1-1,1.0408163265306123,5.173333333333333,32,209.15,299.15,0.013220276915558661,0.006114808192124955,0.0018978021286037321,0.0003154662352628873,7.6170393388279885e-06,,0.0132660766683912,3.0914862005401075e-06,0.45522536493031734,14.148844098220529,0.9431428838527186,False,False,[]
S8-3-27-1-1,0.0,2.7580000000000005,11,272.15,299.15,0.00019008977893503028,0.00010774359015552302,,,,,0.0001906644591182,0.0001029598568708,0.15776408003357362,-2.381489618411885,0.9649254249581238,False,False,['missing_low_temperature_coverage']
S8-3-28-1-1,0.0641214250069669,3.3986666666666667,31,212.15,299.15,0.013198291912367873,0.009426789089859958,0.003173405115769598,0.00015021755628324306,2.417356608466863e-06,,0.0132034718174305,1.8436393651512883e-06,0.5334704971751095,17.72176264740716,0.9074442657675611,False,False,[]
S8-3-29-1-1,0.0,1.182,11,268.15,299.15,9.598243578902397e-05,4.889975349845082e-05,,,,,9.612233328674698e-05,4.069961216817008e-05,0.19421082920734853,-1.6573261481764732,0.9860990462929866,False,False,['missing_low_temperature_coverage']
S8-3-3-1,0.1712623980890066,3.645333333333333,13,199.15,299.15,0.009855825294905647,0.0072731441448973784,0.0036767055771566343,0.001181962954892038,0.0001808540526554325,,0.0098688597054479,7.803922682906733e-06,0.32666432071306023,8.914682440039863,0.9002881995228966,False,False,[]
S8-3-31-1-1,0.3340714749983821,4.9068,39,190.15,299.15,0.019385772958600285,0.013459869003240851,0.007480724495186197,0.002577773092166737,0.00035183178746933365,5.428999754304602e-06,0.0194038409086404,2.1515815261588237e-06,0.3472794009544497,10.560350938010325,0.9026367045499207,False,False,[]
