row_id,sample_id,valid_sigma,valid_temperature,valid_geometry,valid_eis,flags
286,S8-3-2-1,True,True,True,True,[]
287,S8-3-2-1,True,True,True,True,[]
288,S8-3-2-1,True,True,True,True,[]
289,S8-3-2-1,True,True,True,True,[]
290,S8-3-2-1,True,True,True,True,[]
291,S8-3-2-1,True,True,True,True,[]
292,S8-3-2-1,True,True,True,True,[]
293,S8-3-2-1,True,True,True,True,[]
294,S8-3-2-1,True,True,True,True,[]
295,S8-3-2-1,True,True,True,True,[]
296,S8-3-2-1,True,True,True,True,[]
297,S8-3-2-1,True,True,True,True,[]
298,S8-3-2-1,True,True,True,True,[]
299,S8-3-2-1,True,True,True,True,[]
300,S8-3-2-1,True,True,True,True,[]
301,S8-3-2-1,True,True,True,True,[]
302,S8-3-2-1,True,True,True,True,[]
303,S8-3-2-1,True,True,True,True,[]
304,S8-3-2-2,True,True,True,True,[]
305,S8-3-2-2,True,True,True,True,[]
306,S8-3-2-2,True,True,True,True,[]
307,S8-3-2-2,True,True,True,True,[]
308,S8-3-2-2,True,True,True,True,[]
309,S8-3-2-2,True,True,True,True,[]
310,S8-3-2-2,True,True,True,True,[]
311,S8-3-2-2,True,True,True,True,[]
312,S8-3-2-2,True,True,True,True,[]
313,S8-3-2-2,True,True,True,True,[]
314,S8-3-2-2,True,True,True,True,[]
315,S8-3-2-2,True,True,True,True,[]
316,S8-3-2-2,True,True,True,True,[]
317,S8-3-2-2,True,True,True,True,[]
318,S8-3-2-2,True,True,True,True,[]
319,S8-3-2-2,True,True,True,True,[]
320,S8-3-2-2,True,True,True,True,[]
321,S8-3-2-2,True,True,True,True,[]
322,S8-3-2-2,True,True,True,True,[]
323,S8-3-2-3,True,True,True,True,[]
324,S8-3-2-3,True,True,True,True,[]
325,S8-3-2-3,True,True,True,True,[]
326,S8-3-2-3,True,True,True,True,[]
327,S8-3-2-3,True,True,True,True,[]
328,S8-3-2-3,True,True,True,True,[]
329,S8-3-2-3,True,True,True,True,[]
330,S8-3-2-3,True,True,True,True,[]
331,S8-3-2-3,True,True,True,True,[]
332,S8-3-2-3,True,True,True,True,[]
333,S8-3-2-3,True,True,True,True,[]
334,S8-3-2-3,True,True,True,True,[]
335,S8-3-2-3,True,True,True,True,[]
336,S8-3-2-4,True,True,True,True,[]
337,S8-3-2-4,True,True,True,True,[]
338,S8-3-2-4,True,True,True,True,[]
339,S8-3-2-4,True,True,True,True,[]
340,S8-3-2-4,True,True,True,True,[]
341,S8-3-2-4,True,True,True,True,[]
342,S8-3-2-4,True,True,True,True,[]
343,S8-3-2-4,True,True,True,True,[]
344,S8-3-2-4,True,True,True,True,[]
345,S8-3-2-4,True,True,True,True,[]
346,S8-3-2-4,True,True,True,True,[]
347,S8-3-2-4,True,True,True,True,[]
348,S8-3-2-5,True,True,True,True,[]
349,S8-3-2-5,True,True,True,True,[]
350,S8-3-2-5,True,True,True,True,[]
351,S8-3-2-5,True,True,True,True,[]
352,S8-3-2-5,True,True,True,True,[]
353,S8-3-2-5,True,True,True,True,[]
354,S8-3-2-5,True,True,True,True,[]
355,S8-3-2-5,True,True,True,True,[]
356,S8-3-2-5,True,True,True,True,[]
357,S8-3-2-5,True,True,True,True,[]
358,S8-3-2-5,True,True,True,True,[]
359,S8-3-2-5,True,True,True,True,[]
360,S8-3-2-5,True,True,True,True,[]
361,S8-3-20-1-1,True,True,True,True,[]
362,S8-3-20-1-1,True,True,True,True,[]
363,S8-3-20-1-1,True,True,True,True,[]
364,S8-3-20-1-1,True,True,True,True,[]
365,S8-3-20-1-1,True,True,True,True,[]
366,S8-3-20-1-1,True,True,True,True,[]
367,S8-3-20-1-1,True,True,True,True,[]
368,S8-3-20-1-1,True,True,True,True,[]
369,S8-3-20-1-1,True,True,True,True,[]
370,S8-3-20-1-1,True,True,True,True,[]
