# Part 1: Measurement Data
1000_T_K_inv,T_K,T_C,sigma_S_cm,log10_sigma_mS_cm
3.749672,266.690000,-6.460000,0.001291,0.110859
3.761661,265.840000,-7.310000,0.001219,0.086099
3.773870,264.980000,-8.170000,0.001151,0.061064
3.786086,264.125000,-9.025000,0.001086,0.035993
3.798021,263.295000,-9.855000,0.001025,0.010574
3.810032,262.465000,-10.685000,0.000966,-0.015246
3.822119,261.635000,-11.515000,0.000909,-0.041597
3.834282,260.805000,-12.345000,0.000854,-0.068347
3.846524,259.975000,-13.175000,0.000802,-0.095613
3.858769,259.150000,-14.000000,0.000753,-0.123473
3.871093,258.325000,-14.825000,0.000705,-0.151789
3.883495,257.500000,-15.650000,0.000660,-0.180646
3.895977,256.675000,-16.475000,0.000616,-0.210133
3.908540,255.850000,-17.300000,0.000575,-0.240028
3.921184,255.025000,-18.125000,0.000536,-0.270492
3.933910,254.200000,-18.950000,0.000499,-0.301995
3.946719,253.375000,-19.775000,0.000464,-0.333916
3.959612,252.550000,-20.600000,0.000430,-0.366449
3.972589,251.725000,-21.425000,0.000399,-0.399216
3.985652,250.900000,-22.250000,0.000369,-0.433035
3.998800,250.075000,-23.075000,0.000341,-0.467388
4.012036,249.250000,-23.900000,0.000315,-0.502028
4.025360,248.425000,-24.725000,0.000292,-0.534143
4.038772,247.600000,-25.550000,0.000267,-0.573298
4.052356,246.770000,-26.380000,0.000244,-0.612129
4.065950,245.945000,-27.205000,0.000223,-0.651304
4.079634,245.120000,-28.030000,0.000204,-0.691382
4.093412,244.295000,-28.855000,0.000185,-0.732312
4.107451,243.460000,-29.690000,0.000169,-0.773240
4.121417,242.635000,-30.515000,0.000153,-0.815618
4.135649,241.800000,-31.350000,0.000138,-0.858814
4.150153,240.955000,-32.195000,0.000123,-0.911771
4.168317,239.905000,-33.245000,0.000109,-0.964371
4.184976,238.950000,-34.200000,0.000096,-1.015766
4.201239,238.025000,-35.125000,0.000085,-1.070887
4.218697,237.040000,-36.110000,0.000075,-1.126112
4.235852,236.080000,-37.070000,0.000066,-1.183437
4.253328,235.110000,-38.040000,0.000057,-1.247158
4.272591,234.050000,-39.100000,0.000049,-1.308881
4.290833,233.055000,-40.095000,0.000043,-1.371506
4.309230,232.060000,-41.090000,0.000036,-1.446843
4.331067,230.890000,-42.260000,0.000029,-1.532385
4.355590,229.590000,-43.560000,0.000024,-1.611214
4.377517,228.440000,-44.710000,0.000020,-1.696319
4.401505,227.195000,-45.955000,0.000017,-1.780796
4.424975,225.990000,-47.160000,0.000012,-1.915630
4.451468,224.645000,-48.505000,0.000009,-2.046218
4.483300,223.050000,-50.100000,0.000007,-2.177362
4.512432,221.610000,-51.540000,0.000005,-2.277889
4.541017,220.215000,-52.935000,0.000004,-2.401908
4.571429,218.750000,-54.400000,0.000003,-2.555067
4.602251,217.285000,-55.865000,0.000002,-2.684681
4.632740,215.855000,-57.295000,0.000001,-2.828884
4.662331,214.485000,-58.665000,0.000001,-3.000270
4.699579,212.785000,-60.365000,0.000001,-3.205420
4.737316,211.090000,-62.060000,0.000000,-3.398320
4.772358,209.540000,-63.610000,0.000000,-3.593598
4.809080,207.940000,-65.210000,0.000000,-3.810794
4.847075,206.310000,-66.840000,0.000000,-4.053814
4.888063,204.580000,-68.570000,0.000000,-4.311851
4.929508,202.860000,-70.290000,0.000000,-4.571760
4.969932,201.210000,-71.940000,0.000000,-4.839950
5.009393,199.625000,-73.525000,0.000001,-3.016383
5.052802,197.910000,-75.240000,0.000000,-5.444098
5.096710,196.205000,-76.945000,0.000000,-5.744513
5.142314,194.465000,-78.685000,0.000000,-6.126252
5.189414,192.700000,-80.450000,0.000000,-4.013425

# Part 2: Arrhenius Fit Parameters
segment,Ea_eV,ln_sigma0,T_low_K,T_high_K,r_squared
1,0.317278,7.204715,264.125000,300.000000,0.992710
2,0.484303,14.489944,246.770000,263.295000,0.998834
3,0.657264,22.645665,229.590000,245.945000,0.998516
4,1.122767,46.657415,194.465000,228.440000,0.990226

# Part 3: Breakpoints
breakpoint_1000_T_K_inv
3.786086
4.052356
4.355590
