T_avg_K,delta_Ea,fitted,residual,std_residual
201.50833333333333,0.3491356018143838,0.17989655378936326,0.16923904802502054,1.1796442577840278
288.75,0.111957086301533,-0.006043827619305109,0.11800091392083811,0.8224999026194277
264.925,0.0466073346962278,0.044735000391716184,0.0018723343045116136,0.01305070216799282
238.5583333333333,0.0402453379299217,0.10093094716571827,-0.060685609235796564,-0.4229959415426941
200.6833333333333,0.3401651353937692,0.18165489725669137,0.15851023813707782,1.1048614040344782
293.08333333333337,0.2292885818953553,-0.015279571084059085,0.2445681529794144,1.7047095257612128
273.7583333333333,0.2071429625515251,0.02590829255971816,0.18123466999180693,1.263257151716021
247.475,0.2469619386110035,0.08192662888247482,0.16503530972852867,1.1503430072714966
213.925,0.5742821161800513,0.15343259655381863,0.4208495196262327,2.9334407455710556
291.44166666666666,-0.0227826720209199,-0.011780645194527262,-0.01100202682639264,-0.07668725345123162
271.7,-0.0590693383851511,0.030295270705476218,-0.08936460909062732,-0.6228967203082332
246.7083333333333,-0.0666245030703971,0.08356064503393135,-0.15018514810432845,-1.0468331607462276
212.1833333333333,0.2431572255772507,0.15714465498484476,0.08601257059240594,0.5995320594191382
294.4833333333333,0.1021257742015677,-0.018263426664979376,0.12038920086654707,0.8391469413160151
278.725,0.0848973583274063,0.0153227096655002,0.0695746486619061,0.48495507236146174
287.125,0.0371514867011236,-0.002580423820022437,0.03973191052114604,0.27694270704080937
264.3833333333333,-0.0382590634842993,0.045889468324810445,-0.08414853180910975,-0.5865391793913743
240.59166666666667,0.4033542328657314,0.09659725215533377,0.30675698071039764,2.138183327388416
204.4333333333333,0.3800837391860419,0.17366242695065448,0.2064213122353874,1.4388152054998484
283.925,0.1610143039518705,0.0042398175077956735,0.15677448644407482,1.0927627214816953
270.575,-0.0087111693533269,0.03269301179728723,-0.04140418115061413,-0.288598908541194
209.175,0.0763171912710206,0.1635563922747988,-0.08723920100377819,-0.6080820219607889
287.2,0.0233805272672525,-0.0027402732261432305,0.02612080049339573,0.1820694022469389
261.6,-0.0744850642493716,0.05182165739640232,-0.12630672164577392,-0.8803937427427201
234.9333333333333,-0.0980759517065497,0.10865700179488735,-0.20673295350143706,-1.44098743368403
195.725,0.0907515443709882,0.19222271910578465,-0.10147117473479644,-0.7072829231987039
288.66666666666663,0.0156404654973846,-0.005866217168059795,0.021506682665444397,0.14990768978163954
264.5083333333333,-0.0583180620666201,0.04562305264794253,-0.10394111471456263,-0.7244991067462007
236.38333333333333,-0.0414992274160363,0.10556657994321961,-0.1470658073592559,-1.0250904693228358
199.05,0.2739412839038514,0.1851360621010985,0.08880522180275291,0.618997631949376
294.31666666666666,0.0320185533081215,-0.01790820576248886,0.04992675907061036,0.3480036985241426
278.70000000000005,-0.0327499810988695,0.015375992800873761,-0.04812597389974326,-0.33545171414993397
257.44166666666666,0.030441660638876,0.06068441891354104,-0.03024275827466504,-0.2108006193286118
213.15,0.1033444767168552,0.15508437375039963,-0.051739897033544424,-0.36064178536937935
291.69166666666666,0.2080140418227281,-0.01231347654826298,0.22032751837099107,1.5357454140235967
270.8666666666667,0.1700592924319728,0.0320713752179288,0.137987917214044,0.9618149953257813
247.13333333333333,0.1970994073984542,0.08265483173258037,0.11444457566587382,0.7977112143695029
216.41666666666669,0.4561738102586905,0.1481220440615852,0.30805176619710534,2.1472083501729395
272.3333333333333,-0.099003955348338,0.028945431276012124,-0.12794938662435013,-0.8918435844432824
231.475,0.0952998271967354,0.11602783552156576,-0.020728008324830363,-0.1444801083498809
198.2,0.4748976061675558,0.1869476887038003,0.2879499174637555,2.0070927521128894
285.7416666666667,0.0056402517362015,0.0003679096706489249,0.005272342065552575,0.036749722450475954
258.875,-0.0953455756225577,0.057629519152122444,-0.15297509477468013,-1.0662798818641426
231.025,-0.0922245600111514,0.11698693195829019,-0.20921149196944158,-1.4582635511380002
193.28333333333333,0.2187294532850633,0.1974267053272709,0.021302747957792384,0.14848620691670994
