T_K,delta_Ea_pred,ci_lower,ci_upper
206.39443048576214,0.1694826907485102,0.12739658074443913,0.21156880075258125
206.98735343383584,0.16821897900017768,0.12650807245379447,0.2099298855465609
207.58027638190956,0.16695526725184512,0.12561742030522427,0.20829311419846597
208.17319932998325,0.1656915555035126,0.1247245657305481,0.20665854527647712
208.76612227805694,0.1644278437551801,0.1238294483737257,0.2050262391366345
209.35904522613066,0.16316413200684754,0.12293200604196208,0.203396257971733
209.95196817420435,0.16190042025851503,0.12203217465659877,0.2017686658604313
210.54489112227805,0.16063670851018258,0.12112988820393909,0.20014352881642605
211.13781407035177,0.15937299676185002,0.1202250786861758,0.19852091483752424
211.73073701842546,0.1581092850135175,0.11931767607260887,0.19690089395442614
212.32365996649915,0.156845573265185,0.11840760825136232,0.19528353827900768
212.91658291457287,0.15558186151685244,0.11749480098183449,0.1936689220518704
213.50950586264656,0.15431814976851993,0.11657917784814058,0.19205712168889927
214.10242881072026,0.15305443802018742,0.11566066021383263,0.1904482158265422
214.69535175879395,0.15179072627185497,0.11473916717821256,0.18884228536549738
215.28827470686767,0.1505270145235224,0.11381461553458258,0.18723941351246223
215.88119765494136,0.1492633027751899,0.11288691973081152,0.18563968581956827
216.47412060301508,0.14799959102685734,0.1119559918326265,0.18404319022108817
217.06704355108877,0.14673587927852483,0.11102174149007794,0.18245001706697173
217.65996649916246,0.14547216753019232,0.11008407590765953,0.1808602591527251
218.25288944723616,0.1442084557818598,0.10914289981860475,0.17927401174511487
218.84581239530988,0.14294474403352725,0.10819811546391837,0.1776913726031361
219.43873534338357,0.1416810322851948,0.10724962257674195,0.17611244199364764
220.0316582914573,0.14041732053686223,0.10629731837269005,0.17453732270103442
220.62458123953098,0.13915360878852973,0.10534109754683577,0.17296612003022369
221.21750418760467,0.13788989704019722,0.10438085227805817,0.17139894180233628
221.81042713567837,0.1366261852918647,0.10341647224150566,0.16983589834222376
222.4033500837521,0.13536247354353215,0.10244784462996043,0.16827710245710387
222.99627303182578,0.13409876179519964,0.101474854184923,0.16672266940547628
223.5891959798995,0.13283505004686713,0.10049738323826153,0.16517271685547275
224.1821189279732,0.13157133829853462,0.0995153117652958,0.16362736483177345
224.77504187604688,0.13030762655020212,0.0985285174502002,0.16208673565020404
225.36796482412058,0.1290439148018696,0.09753687576462067,0.16055095383911855
225.9608877721943,0.12778020305353704,0.09654026006040045,0.15902014604667364
226.553810720268,0.12651649130520454,0.09553854167730126,0.1574944409331078
227.1467336683417,0.12525277955687197,0.09453159006658379,0.15597396904716015
227.7396566164154,0.12398906780853947,0.09351927293128001,0.15445886268579892
228.3325795644891,0.12272535606020701,0.0925014563839387,0.15294925573647533
228.9255025125628,0.1214616443118745,0.09147800512256346,0.15144528350118555
229.5184254606365,0.12019793256354194,0.09044878262538003,0.14994708250170385
230.1113484087102,0.11893422081520943,0.08941365136496879,0.14845479026545008
230.70427135678392,0.11767050906687687,0.08837247304217864,0.1469685450915751
231.2971943048576,0.11640679731854436,0.08732510884009899,0.14548848579698972
231.8901172529313,0.11514308557021186,0.0862714196982023,0.14401475144222142
