sample_id,T_avg_K,Ea_eV,Ea_bulk,delta_Ea,temp_region
S8-3-2-5,270.65,0.1934781794370317,0.1826827274314831,0.0107954520055485,High
S8-3-2-5,208.8,0.8797123959613724,0.5916367559049913,0.2880756400563811,Low
S8-3-20-1-1,287.25,0.1006587160059971,0.0792789637426542,0.0213797522633429,High
S8-3-20-1-1,261.69166666666666,0.1937960998572896,0.2587804605152112,-0.0649843606579216,Mid
S8-3-20-1-1,233.6833333333333,0.3772641630860995,0.4467530541426612,-0.0694888910565617,Mid
S8-3-20-1-1,196.94166666666663,0.903092365155823,0.6794855877154269,0.2236067774403961,Low
S8-3-21-1-1,288.6,0.1529486259126392,0.0925578183591264,0.0603908075535127,High
S8-3-21-1-1,264.5916666666667,0.2580016648358436,0.2619654373236727,-0.0039637724878291,Mid
S8-3-21-1-1,236.84166666666667,0.4463466660380241,0.449412004567919,-0.0030653385298949,Mid
S8-3-21-1-1,201.50833333333333,1.0242399985472908,0.6751043967329069,0.3491356018143838,Low
S8-3-22-1-1,288.75,0.1582301915789412,0.0462731052774081,0.111957086301533,High
S8-3-22-1-1,264.925,0.2605852359674677,0.2139779012712398,0.0466073346962278,Mid
S8-3-22-1-1,238.5583333333333,0.4321133045732082,0.3918679666432864,0.0402453379299217,Mid
S8-3-22-1-1,200.6833333333333,0.97340000270435,0.6332348673105808,0.3401651353937692,Low
S8-3-23-2-1,293.08333333333337,0.2406698577837363,0.0113812758883809,0.2292885818953553,High
S8-3-23-2-1,273.7583333333333,0.3559772478309905,0.1488342852794654,0.2071429625515251,High
S8-3-23-2-1,247.475,0.5757619900549222,0.3288000514439186,0.2469619386110035,Mid
S8-3-23-2-1,213.925,1.1211154563758827,0.5468333401958314,0.5742821161800513,Low
S8-3-25-1-1,291.44166666666666,0.1736340937551088,0.1964167657760287,-0.0227826720209199,High
S8-3-25-1-1,271.7,0.2783490842938581,0.3374184226790092,-0.0590693383851511,High
S8-3-25-1-1,246.7083333333333,0.4427833839465234,0.5094078870169205,-0.0666245030703971,Mid
S8-3-25-1-1,212.1833333333333,0.9781973525868022,0.7350401270095515,0.2431572255772507,Low
S8-3-27-1-1,294.4833333333333,0.0971917119844558,-0.0049340622171119,0.1021257742015677,High
S8-3-27-1-1,278.725,0.1924937130181593,0.1075963546907529,0.0848973583274063,High
S8-3-28-1-1,287.125,0.0869219779234288,0.0497704912223051,0.0371514867011236,High
S8-3-28-1-1,264.3833333333333,0.1711204476965148,0.2093795111808141,-0.0382590634842993,Mid
S8-3-28-1-1,240.59166666666667,0.7732657708382784,0.369911537972547,0.4033542328657314,Mid
S8-3-28-1-1,204.4333333333333,0.9813485584304942,0.6012648192444523,0.3800837391860419,Low
S8-3-29-1-1,283.925,0.2317970879458667,0.0707827839939961,0.1610143039518705,High
S8-3-3-1,270.575,0.1636333008595276,0.1723444702128546,-0.0087111693533269,High
S8-3-3-1,209.175,0.6543130629261986,0.577995871655178,0.0763171912710206,Low
S8-3-31-1-1,287.2,0.0935345635876916,0.0701540363204391,0.0233805272672525,High
S8-3-31-1-1,261.6,0.1753330796233482,0.2498181438727199,-0.0744850642493716,Mid
S8-3-31-1-1,234.9333333333333,0.3307768560975357,0.4288528078040854,-0.0980759517065497,Mid
S8-3-31-1-1,195.725,0.7678022904394656,0.6770507460684774,0.0907515443709882,Low
S8-3-32-1-1,288.66666666666663,0.0782141472092334,0.0625736817118488,0.0156404654973846,High
S8-3-32-1-1,264.5083333333333,0.1744511940315569,0.232769256098177,-0.0583180620666201,Mid
S8-3-32-1-1,236.38333333333333,0.3808487977636519,0.4223480251796882,-0.0414992274160363,Mid
S8-3-32-1-1,199.05,0.9337083650112884,0.659767081107437,0.2739412839038514,Low
S8-3-33-1-1,294.31666666666666,0.0300619568121458,-0.0019565964959757,0.0320185533081215,High
S8-3-33-1-1,278.70000000000005,0.0768524382025793,0.1096024193014488,-0.0327499810988695,High
S8-3-33-1-1,257.44166666666666,0.2873404686076035,0.2568988079687274,0.030441660638876,Mid
S8-3-33-1-1,213.15,0.6502298775738106,0.5468854008569554,0.1033444767168552,Low
S8-3-35-1-1,291.69166666666666,0.2420023544623153,0.0339883126395871,0.2080140418227281,High
S8-3-35-1-1,270.8666666666667,0.3518271789740603,0.1817678865420874,0.1700592924319728,High
S8-3-35-1-1,247.13333333333333,0.5411276201216283,0.344028212723174,0.1970994073984542,Mid
S8-3-35-1-1,216.41666666666669,1.0004676081351822,0.5442937978764917,0.4561738102586905,Low
S8-3-37-1-1,272.3333333333333,0.0725214033722789,0.1715253587206169,-0.099003955348338,High
