sample_id,Ea_eV,ln_sigma0,T_avg_K,segment,temp_region
S8-3-7-1,0.1734803702232686,2.3022203247153707,292.93333333333334,1,High
S8-3-7-1,0.2346070120935468,3.5787712860810514,256.6083333333333,2,Mid
S8-3-7-1,0.463219018677309,15.851447486760218,217.50833333333333,3,Low
S8-3-7-1,0.956157315502396,43.54036455933903,196.15833333333333,4,Low
S8-3-7-2,0.379311056531261,10.739376794859272,243.625,1,Mid
S8-3-8-2,0.0703975050563821,-1.1492396571434829,287.26666666666665,1,High
S8-3-8-2,0.1927481374365388,4.057209453684423,261.7166666666667,2,Mid
S8-3-8-2,0.4377917981526663,15.540225829874757,233.73333333333332,3,Mid
S8-3-8-2,1.1471332380519896,54.092573531477264,197.75833333333333,4,Low
S8-3-9-2,0.182056994277128,2.556171470325124,279.0083333333333,1,High
S8-3-9-2,0.3291335327043417,9.124392179771515,248.35,2,Mid
S8-3-9-2,0.4340257466994281,14.203154850504296,231.6833333333333,3,Mid
S8-3-9-2,0.8903307895735086,38.42573514794501,203.825,4,Low
S8-3-9-3,0.0796120061217424,-0.9600596763420604,284.3416666666667,1,High
S8-3-9-3,0.1638844225186173,2.7001980193480146,256.025,2,Mid
S8-3-9-3,0.3483922082358694,11.583574408336482,226.8083333333333,3,Low
S8-3-9-3,0.9000370775570703,42.8143305097506,187.625,4,Low
S8-3-9-4,0.2933576501568296,7.593020449275064,250.84375,full_range,Mid
