frequency_hz,z_real_ohm_cm2,z_imag_ohm_cm2,sample_id,target_temperature_C,actual_temperature_C,source_file
68.354401,20.887501,-82.260399,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
54.545502,25.771999,-98.880402,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
42.857101,32.197102,-121.834,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
33.962299,39.3913,-148.479004,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
26.8657,50.261799,-181.567993,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
21.343901,63.9366,-220.050003,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
17.307699,79.705101,-261.667999,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
13.6364,101.875,-316.571991,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
10.7143,129.903,-381.897003,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
8.49057,163.085999,-456.046997,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
6.71642,203.065002,-542.481018,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
5.29412,251.145996,-645.137024,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
